1300
2001,694
2002,718
2003,237
2004,263
2005,105
2006,519
2007,313
2008,808
2009,802
2010,266
2011,556
2012,159
2013,751
2014,477
2015,700
2016,507
2017,581
2018,511
2019,894
2020,571
2021,726
2022,821
2023,158
2024,4
2025,387
2026,687
2027,183
2028,375
2029,568
2030,764
2031,907
2032,645
2033,175
2034,162
2035,759
2036,847
2037,599
2038,239
2039,289
2040,809
2041,527
2042,778
2043,51
2044,833
2045,93
2046,91
2047,935
2048,88
2049,930
2050,738
2051,856
2052,547
2053,607
2054,427
2055,104
2056,247
2057,662
2058,601
2059,965
2060,166
2061,660
2062,632
2063,687
2064,545
2065,679
2066,871
2067,138
2068,58
2069,646
2070,741
2071,90
2072,993
2073,200
2074,609
2075,798
2076,971
2077,38
2078,809
2079,198
2080,976
2081,469
2082,169
2083,822
2084,179
2085,971
2086,189
2087,597
2088,468
2089,586
2090,378
2091,37
2092,26
2093,199
2094,838
2095,43
2096,420
2097,427
2098,493
2099,110
2100,948
2101,37
2102,477
2103,72
2104,224
2105,329
2106,573
2107,161
2108,887
2109,368
2110,830
2111,151
2112,491
2113,61
2114,284
2115,851
2116,37
2117,574
2118,249
2119,376
2120,263
2121,79
2122,723
2123,979
2124,91
2125,760
2126,266
2127,980
2128,509
2129,564
2130,593
2131,521
2132,323
2133,414
2134,382
2135,973
2136,967
2137,639
2138,78
2139,597
2140,367
2141,693
2142,302
2143,81
2144,253
2145,606
2146,377
2147,232
2148,502
2149,508
2150,543
2151,107
2152,755
2153,276
2154,630
2155,84
2156,379
2157,436
2158,354
2159,601
2160,931
2161,556
2162,312
2163,124
2164,617
2165,739
2166,731
2167,263
2168,994
2169,883
2170,999
2171,403
2172,940
2173,708
2174,922
2175,718
2176,410
2177,870
2178,959
2179,958
2180,935
2181,168
2182,945
2183,249
2184,267
2185,542
2186,954
2187,442
2188,664
2189,545
2190,28
2191,310
2192,889
2193,126
2194,492
2195,83
2196,774
2197,276
2198,262
2199,790
2200,607
2201,760
2202,124
2203,46
2204,115
2205,187
2206,820
2207,958
2208,378
2209,341
2210,415
2211,536
2212,51
2213,937
2214,55
2215,27
2216,240
2217,131
2218,201
2219,556
2220,328
2221,964
2222,100
2223,856
2224,571
2225,1
2226,677
2227,103
2228,370
2229,937
2230,416
2231,528
2232,554
2233,72
2234,5
2235,3
2236,696
2237,36
2238,333
2239,872
2240,110
2241,848
2242,642
2243,978
2244,63
2245,334
2246,210
2247,10
2248,412
2249,732
2250,685
2251,781
2252,860
2253,69
2254,547
2255,806
2256,396
2257,587
2258,45
2259,281
2260,545
2261,531
2262,554
2263,628
2264,977
2265,708
2266,480
2267,244
2268,275
2269,763
2270,712
2271,171
2272,1
2273,979
2274,406
2275,815
2276,127
2277,370
2278,420
2279,175
2280,252
2281,413
2282,417
2283,242
2284,53
2285,414
2286,488
2287,289
2288,861
2289,332
2290,923
2291,140
2292,635
2293,279
2294,163
2295,925
2296,377
2297,564
2298,269
2299,763
2300,460
2301,865
2302,104
2303,545
2304,803
2305,469
2306,190
2307,955
2308,84
2309,673
2310,870
2311,765
2312,82
2313,567
2314,973
2315,509
2316,252
2317,617
2318,360
2319,565
2320,119
2321,81
2322,215
2323,851
2324,818
2325,846
2326,255
2327,101
2328,694
2329,49
2330,460
2331,324
2332,69
2333,110
2334,509
2335,160
2336,245
2337,630
2338,942
2339,183
2340,296
2341,106
2342,234
2343,897
2344,659
2345,150
2346,559
2347,855
2348,769
2349,969
2350,740
2351,331
2352,362
2353,399
2354,616
2355,499
2356,948
2357,307
2358,850
2359,499
2360,646
2361,892
2362,201
2363,942
2364,466
2365,537
2366,42
2367,800
2368,835
2369,874
2370,571
2371,812
2372,352
2373,758
2374,816
2375,546
2376,528
2377,11
2378,721
2379,723
2380,295
2381,507
2382,406
2383,865
2384,389
2385,537
2386,212
2387,102
2388,167
2389,224
2390,520
2391,723
2392,527
2393,380
2394,964
2395,67
2396,168
2397,322
2398,428
2399,293
2400,415
2401,996
2402,124
2403,628
2404,122
2405,456
2406,884
2407,826
2408,82
2409,698
2410,84
2411,962
2412,646
2413,415
2414,432
2415,678
2416,198
2417,928
2418,995
2419,919
2420,793
2421,294
2422,467
2423,76
2424,436
2425,207
2426,776
2427,884
2428,380
2429,781
2430,211
2431,739
2432,179
2433,164
2434,307
2435,295
2436,882
2437,704
2438,780
2439,683
2440,361
2441,203
2442,382
2443,433
2444,15
2445,548
2446,555
2447,272
2448,905
2449,422
2450,297
2451,271
2452,919
2453,700
2454,369
2455,903
2456,824
2457,525
2458,276
2459,448
2460,36
2461,302
2462,269
2463,95
2464,45
2465,647
2466,372
2467,580
2468,621
2469,183
2470,658
2471,428
2472,665
2473,244
2474,829
2475,942
2476,618
2477,922
2478,874
2479,25
2480,477
2481,73
2482,633
2483,488
2484,156
2485,65
2486,165
2487,635
2488,389
2489,331
2490,405
2491,520
2492,892
2493,48
2494,898
2495,935
2496,151
2497,209
2498,793
2499,367
2500,351
2501,288
2502,582
2503,597
2504,503
2505,242
2506,741
2507,434
2508,598
2509,942
2510,677
2511,970
2512,712
2513,915
2514,903
2515,37
2516,517
2517,302
2518,706
2519,119
2520,870
2521,38
2522,95
2523,150
2524,400
2525,985
2526,157
2527,109
2528,209
2529,572
2530,545
2531,362
2532,425
2533,12
2534,328
2535,12
2536,978
2537,335
2538,39
2539,135
2540,958
2541,361
2542,136
2543,165
2544,872
2545,159
2546,451
2547,596
2548,386
2549,526
2550,979
2551,891
2552,275
2553,684
2554,398
2555,637
2556,172
2557,369
2558,383
2559,350
2560,547
2561,776
2562,545
2563,435
2564,564
2565,898
2566,385
2567,190
2568,602
2569,774
2570,200
2571,607
2572,587
2573,697
2574,992
2575,653
2576,398
2577,301
2578,92
2579,154
2580,778
2581,634
2582,829
2583,646
2584,327
2585,194
2586,838
2587,831
2588,794
2589,852
2590,523
2591,190
2592,162
2593,300
2594,26
2595,988
2596,45
2597,569
2598,765
2599,154
2600,825
2601,652
2602,790
2603,60
2604,905
2605,200
2606,266
2607,870
2608,364
2609,478
2610,964
2611,123
2612,821
2613,592
2614,393
2615,40
2616,945
2617,298
2618,764
2619,466
2620,988
2621,414
2622,431
2623,757
2624,743
2625,88
2626,647
2627,588
2628,585
2629,77
2630,460
2631,745
2632,980
2633,222
2634,789
2635,332
2636,552
2637,217
2638,606
2639,493
2640,1
2641,400
2642,494
2643,234
2644,108
2645,925
2646,801
2647,913
2648,84
2649,377
2650,936
2651,795
2652,971
2653,84
2654,581
2655,118
2656,748
2657,555
2658,822
2659,110
2660,278
2661,693
2662,412
2663,475
2664,979
2665,485
2666,416
2667,951
2668,918
2669,995
2670,705
2671,313
2672,207
2673,667
2674,213
2675,939
2676,357
2677,639
2678,909
2679,865
